ano,dia,numero,variacao,parte,page,x_pt,y_pt,w_pt,h_pt,image_path
2023,2,96,1,1,4,0.00,56.83,283.46,334.55,questoes/banco_reais/enem_2023/dia2_questoes_vazias_imagens/images/q096_v01_p04_part01.png
2023,2,99,1,1,5,0.00,56.83,283.46,323.65,questoes/banco_reais/enem_2023/dia2_questoes_vazias_imagens/images/q099_v01_p05_part01.png
2023,2,103,1,1,6,0.00,56.83,283.46,250.92,questoes/banco_reais/enem_2023/dia2_questoes_vazias_imagens/images/q103_v01_p06_part01.png
2023,2,107,1,1,7,0.00,56.83,283.46,267.79,questoes/banco_reais/enem_2023/dia2_questoes_vazias_imagens/images/q107_v01_p07_part01.png
2023,2,112,1,1,8,0.00,56.83,283.46,439.21,questoes/banco_reais/enem_2023/dia2_questoes_vazias_imagens/images/q112_v01_p08_part01.png
2023,2,115,1,1,9,0.00,56.83,283.46,223.56,questoes/banco_reais/enem_2023/dia2_questoes_vazias_imagens/images/q115_v01_p09_part01.png
2023,2,123,1,1,12,0.00,56.83,283.46,259.23,questoes/banco_reais/enem_2023/dia2_questoes_vazias_imagens/images/q123_v01_p12_part01.png
2023,2,130,1,1,14,0.00,56.83,283.46,466.54,questoes/banco_reais/enem_2023/dia2_questoes_vazias_imagens/images/q130_v01_p14_part01.png
2023,2,154,1,1,23,0.00,56.83,283.46,390.76,questoes/banco_reais/enem_2023/dia2_questoes_vazias_imagens/images/q154_v01_p23_part01.png
2023,2,161,1,1,25,0.00,56.83,283.46,271.90,questoes/banco_reais/enem_2023/dia2_questoes_vazias_imagens/images/q161_v01_p25_part01.png
2023,2,164,1,1,26,0.00,56.83,283.46,722.69,questoes/banco_reais/enem_2023/dia2_questoes_vazias_imagens/images/q164_v01_p26_part01.png
2023,2,167,1,1,27,0.00,56.83,283.46,722.69,questoes/banco_reais/enem_2023/dia2_questoes_vazias_imagens/images/q167_v01_p27_part01.png
2023,2,173,1,1,29,0.00,56.83,283.46,309.53,questoes/banco_reais/enem_2023/dia2_questoes_vazias_imagens/images/q173_v01_p29_part01.png
