ano,dia,numero,variacao,parte,page,x_pt,y_pt,w_pt,h_pt,image_path
2023,1,4,1,1,1,0.00,539.67,283.46,239.85,questoes/banco_reais/enem_2023/dia1_questoes_vazias_imagens/images/q004_v01_p01_part01.png
2023,1,12,1,1,8,0.00,56.83,283.46,722.69,questoes/banco_reais/enem_2023/dia1_questoes_vazias_imagens/images/q012_v01_p08_part01.png
2023,1,14,1,1,9,0.00,56.83,283.46,722.69,questoes/banco_reais/enem_2023/dia1_questoes_vazias_imagens/images/q014_v01_p09_part01.png
2023,1,25,1,1,13,0.00,56.83,283.46,291.44,questoes/banco_reais/enem_2023/dia1_questoes_vazias_imagens/images/q025_v01_p13_part01.png
2023,1,35,1,1,16,0.00,56.83,283.46,371.81,questoes/banco_reais/enem_2023/dia1_questoes_vazias_imagens/images/q035_v01_p16_part01.png
2023,1,39,1,1,17,0.00,56.83,283.46,325.17,questoes/banco_reais/enem_2023/dia1_questoes_vazias_imagens/images/q039_v01_p17_part01.png
2023,1,62,1,1,24,0.00,56.83,283.46,350.68,questoes/banco_reais/enem_2023/dia1_questoes_vazias_imagens/images/q062_v01_p24_part01.png
2023,1,66,1,1,25,0.00,56.83,283.46,341.49,questoes/banco_reais/enem_2023/dia1_questoes_vazias_imagens/images/q066_v01_p25_part01.png
2023,1,70,1,1,26,0.00,56.83,283.46,394.36,questoes/banco_reais/enem_2023/dia1_questoes_vazias_imagens/images/q070_v01_p26_part01.png
2023,1,73,1,1,27,0.00,56.83,283.46,287.25,questoes/banco_reais/enem_2023/dia1_questoes_vazias_imagens/images/q073_v01_p27_part01.png
2023,1,77,1,1,28,0.00,56.83,283.46,306.15,questoes/banco_reais/enem_2023/dia1_questoes_vazias_imagens/images/q077_v01_p28_part01.png
2023,1,81,1,1,29,0.00,56.83,283.46,312.15,questoes/banco_reais/enem_2023/dia1_questoes_vazias_imagens/images/q081_v01_p29_part01.png
2023,1,84,1,1,29,283.46,360.98,283.46,418.55,questoes/banco_reais/enem_2023/dia1_questoes_vazias_imagens/images/q084_v01_p29_part01.png
2023,1,85,1,1,30,0.00,56.83,283.46,357.82,questoes/banco_reais/enem_2023/dia1_questoes_vazias_imagens/images/q085_v01_p30_part01.png
