ano,dia,numero,variacao,parte,page,x_pt,y_pt,w_pt,h_pt,image_path
2019,2,94,1,1,3,0.00,67.76,283.46,711.77,questoes/banco_reais/enem_2019/dia2_questoes_vazias_imagens/images/q094_v01_p03_part01.png
2019,2,97,1,1,4,0.00,67.76,283.46,711.77,questoes/banco_reais/enem_2019/dia2_questoes_vazias_imagens/images/q097_v01_p04_part01.png
2019,2,102,1,1,6,0.00,67.76,283.46,251.35,questoes/banco_reais/enem_2019/dia2_questoes_vazias_imagens/images/q102_v01_p06_part01.png
2019,2,109,1,1,8,0.00,67.76,283.46,711.77,questoes/banco_reais/enem_2019/dia2_questoes_vazias_imagens/images/q109_v01_p08_part01.png
2019,2,115,1,1,10,0.00,67.76,283.46,399.39,questoes/banco_reais/enem_2019/dia2_questoes_vazias_imagens/images/q115_v01_p10_part01.png
2019,2,118,1,1,11,0.00,67.76,283.46,225.12,questoes/banco_reais/enem_2019/dia2_questoes_vazias_imagens/images/q118_v01_p11_part01.png
2019,2,121,1,1,12,0.00,67.76,283.46,302.59,questoes/banco_reais/enem_2019/dia2_questoes_vazias_imagens/images/q121_v01_p12_part01.png
2019,2,129,1,1,15,0.00,67.76,283.46,381.59,questoes/banco_reais/enem_2019/dia2_questoes_vazias_imagens/images/q129_v01_p15_part01.png
2019,2,139,1,1,18,0.00,67.76,283.46,711.77,questoes/banco_reais/enem_2019/dia2_questoes_vazias_imagens/images/q139_v01_p18_part01.png
2019,2,144,1,1,20,0.00,67.76,283.46,240.26,questoes/banco_reais/enem_2019/dia2_questoes_vazias_imagens/images/q144_v01_p20_part01.png
2019,2,151,1,1,22,0.00,67.76,283.46,435.39,questoes/banco_reais/enem_2019/dia2_questoes_vazias_imagens/images/q151_v01_p22_part01.png
2019,2,155,1,1,23,0.00,67.76,283.46,345.79,questoes/banco_reais/enem_2019/dia2_questoes_vazias_imagens/images/q155_v01_p23_part01.png
2019,2,159,1,1,24,0.00,67.76,283.46,351.60,questoes/banco_reais/enem_2019/dia2_questoes_vazias_imagens/images/q159_v01_p24_part01.png
2019,2,160,1,1,24,0.00,417.36,283.46,362.17,questoes/banco_reais/enem_2019/dia2_questoes_vazias_imagens/images/q160_v01_p24_part01.png
2019,2,172,1,1,28,0.00,67.76,283.46,326.39,questoes/banco_reais/enem_2019/dia2_questoes_vazias_imagens/images/q172_v01_p28_part01.png
