ano,dia,numero,variacao,parte,page,x_pt,y_pt,w_pt,h_pt,image_path
2017,1,7,1,1,6,0.00,91.97,314.06,342.46,questoes/banco_reais/enem_2017/dia1_questoes_vazias_imagens/images/q007_v01_p06_part01.png
2017,1,14,1,1,8,0.00,91.97,314.06,333.85,questoes/banco_reais/enem_2017/dia1_questoes_vazias_imagens/images/q014_v01_p08_part01.png
2017,1,37,1,1,16,0.00,91.97,314.06,295.05,questoes/banco_reais/enem_2017/dia1_questoes_vazias_imagens/images/q037_v01_p16_part01.png
2017,1,51,1,1,21,0.00,91.97,314.06,734.56,questoes/banco_reais/enem_2017/dia1_questoes_vazias_imagens/images/q051_v01_p21_part01.png
2017,1,54,1,1,22,0.00,91.97,314.06,302.80,questoes/banco_reais/enem_2017/dia1_questoes_vazias_imagens/images/q054_v01_p22_part01.png
2017,1,67,1,1,25,0.00,91.97,314.06,302.19,questoes/banco_reais/enem_2017/dia1_questoes_vazias_imagens/images/q067_v01_p25_part01.png
2017,1,70,1,1,25,314.06,371.73,314.06,454.81,questoes/banco_reais/enem_2017/dia1_questoes_vazias_imagens/images/q070_v01_p25_part01.png
2017,1,70,1,2,26,314.06,0.00,314.06,826.53,questoes/banco_reais/enem_2017/dia1_questoes_vazias_imagens/images/q070_v01_p26_part02.png
2017,1,73,1,1,27,0.00,91.97,314.06,310.22,questoes/banco_reais/enem_2017/dia1_questoes_vazias_imagens/images/q073_v01_p27_part01.png
2017,1,74,1,1,27,0.00,400.20,314.06,426.34,questoes/banco_reais/enem_2017/dia1_questoes_vazias_imagens/images/q074_v01_p27_part01.png
2017,1,77,1,1,28,0.00,91.97,314.06,411.02,questoes/banco_reais/enem_2017/dia1_questoes_vazias_imagens/images/q077_v01_p28_part01.png
2017,1,81,1,1,29,0.00,91.97,314.06,310.95,questoes/banco_reais/enem_2017/dia1_questoes_vazias_imagens/images/q081_v01_p29_part01.png
2017,1,84,1,1,29,314.06,393.36,314.06,433.17,questoes/banco_reais/enem_2017/dia1_questoes_vazias_imagens/images/q084_v01_p29_part01.png
2017,1,85,1,1,30,0.00,91.97,314.06,318.39,questoes/banco_reais/enem_2017/dia1_questoes_vazias_imagens/images/q085_v01_p30_part01.png
2017,1,88,1,1,31,0.00,91.97,314.06,422.19,questoes/banco_reais/enem_2017/dia1_questoes_vazias_imagens/images/q088_v01_p31_part01.png
