ano,dia,numero,variacao,parte,page,x_pt,y_pt,w_pt,h_pt,image_path
2017,2,95,1,1,3,0.00,91.97,314.06,370.25,questoes/banco_reais/enem_2017/dia2_questoes_vazias_imagens/images/q095_v01_p03_part01.png
2017,2,99,1,1,4,0.00,91.97,314.06,734.56,questoes/banco_reais/enem_2017/dia2_questoes_vazias_imagens/images/q099_v01_p04_part01.png
2017,2,106,1,1,7,0.00,91.97,314.06,481.30,questoes/banco_reais/enem_2017/dia2_questoes_vazias_imagens/images/q106_v01_p07_part01.png
2017,2,110,1,1,8,0.00,91.97,314.06,248.35,questoes/banco_reais/enem_2017/dia2_questoes_vazias_imagens/images/q110_v01_p08_part01.png
2017,2,118,1,1,11,0.00,91.97,314.06,305.69,questoes/banco_reais/enem_2017/dia2_questoes_vazias_imagens/images/q118_v01_p11_part01.png
2017,2,122,1,1,12,0.00,91.97,314.06,253.12,questoes/banco_reais/enem_2017/dia2_questoes_vazias_imagens/images/q122_v01_p12_part01.png
2017,2,125,1,1,13,0.00,91.97,314.06,219.31,questoes/banco_reais/enem_2017/dia2_questoes_vazias_imagens/images/q125_v01_p13_part01.png
2017,2,132,1,1,15,0.00,91.97,314.06,396.74,questoes/banco_reais/enem_2017/dia2_questoes_vazias_imagens/images/q132_v01_p15_part01.png
2017,2,137,1,1,16,0.00,428.36,314.06,398.18,questoes/banco_reais/enem_2017/dia2_questoes_vazias_imagens/images/q137_v01_p16_part01.png
2017,2,140,1,1,17,0.00,91.97,314.06,390.66,questoes/banco_reais/enem_2017/dia2_questoes_vazias_imagens/images/q140_v01_p17_part01.png
2017,2,144,1,1,18,0.00,91.97,314.06,734.56,questoes/banco_reais/enem_2017/dia2_questoes_vazias_imagens/images/q144_v01_p18_part01.png
2017,2,147,1,1,19,0.00,91.97,314.06,734.56,questoes/banco_reais/enem_2017/dia2_questoes_vazias_imagens/images/q147_v01_p19_part01.png
2017,2,149,1,1,20,0.00,91.97,314.06,406.98,questoes/banco_reais/enem_2017/dia2_questoes_vazias_imagens/images/q149_v01_p20_part01.png
2017,2,153,1,1,21,0.00,91.97,314.06,335.75,questoes/banco_reais/enem_2017/dia2_questoes_vazias_imagens/images/q153_v01_p21_part01.png
2017,2,157,1,1,23,0.00,91.97,314.06,734.56,questoes/banco_reais/enem_2017/dia2_questoes_vazias_imagens/images/q157_v01_p23_part01.png
2017,2,163,1,1,25,0.00,91.97,314.06,734.56,questoes/banco_reais/enem_2017/dia2_questoes_vazias_imagens/images/q163_v01_p25_part01.png
2017,2,166,1,1,26,0.00,91.97,314.06,734.56,questoes/banco_reais/enem_2017/dia2_questoes_vazias_imagens/images/q166_v01_p26_part01.png
2017,2,169,1,1,27,0.00,91.97,314.06,323.80,questoes/banco_reais/enem_2017/dia2_questoes_vazias_imagens/images/q169_v01_p27_part01.png
2017,2,172,1,1,27,314.06,399.21,314.06,427.33,questoes/banco_reais/enem_2017/dia2_questoes_vazias_imagens/images/q172_v01_p27_part01.png
2017,2,172,1,2,28,314.06,0.00,314.06,826.53,questoes/banco_reais/enem_2017/dia2_questoes_vazias_imagens/images/q172_v01_p28_part02.png
2017,2,174,1,1,29,0.00,91.97,314.06,734.56,questoes/banco_reais/enem_2017/dia2_questoes_vazias_imagens/images/q174_v01_p29_part01.png
2017,2,178,1,1,31,0.00,91.97,314.06,734.56,questoes/banco_reais/enem_2017/dia2_questoes_vazias_imagens/images/q178_v01_p31_part01.png
2017,2,178,1,2,32,0.00,0.00,314.06,820.53,questoes/banco_reais/enem_2017/dia2_questoes_vazias_imagens/images/q178_v01_p32_part02.png
