ano,dia,numero,variacao,parte,page,x_pt,y_pt,w_pt,h_pt,image_path
2020,1,8,1,1,7,0.00,65.26,283.46,350.01,questoes/banco_reais/enem_2020/dia1_questoes_vazias_imagens/images/q008_v01_p07_part01.png
2020,1,11,1,1,7,283.46,400.76,283.46,378.76,questoes/banco_reais/enem_2020/dia1_questoes_vazias_imagens/images/q011_v01_p07_part01.png
2020,1,11,1,2,8,283.46,0.00,283.46,202.89,questoes/banco_reais/enem_2020/dia1_questoes_vazias_imagens/images/q011_v01_p08_part02.png
2020,1,15,1,1,9,0.00,65.26,283.46,714.27,questoes/banco_reais/enem_2020/dia1_questoes_vazias_imagens/images/q015_v01_p09_part01.png
2020,1,23,1,1,12,0.00,65.26,283.46,358.34,questoes/banco_reais/enem_2020/dia1_questoes_vazias_imagens/images/q023_v01_p12_part01.png
2020,1,33,1,1,15,0.00,65.26,283.46,714.27,questoes/banco_reais/enem_2020/dia1_questoes_vazias_imagens/images/q033_v01_p15_part01.png
2020,1,36,1,1,16,0.00,65.26,283.46,263.14,questoes/banco_reais/enem_2020/dia1_questoes_vazias_imagens/images/q036_v01_p16_part01.png
2020,1,39,1,1,17,0.00,65.26,283.46,326.56,questoes/banco_reais/enem_2020/dia1_questoes_vazias_imagens/images/q039_v01_p17_part01.png
2020,1,40,1,1,17,0.00,389.81,283.46,389.71,questoes/banco_reais/enem_2020/dia1_questoes_vazias_imagens/images/q040_v01_p17_part01.png
2020,1,43,1,1,18,0.00,65.26,283.46,355.35,questoes/banco_reais/enem_2020/dia1_questoes_vazias_imagens/images/q043_v01_p18_part01.png
2020,1,49,1,1,20,283.46,404.19,283.46,375.33,questoes/banco_reais/enem_2020/dia1_questoes_vazias_imagens/images/q049_v01_p20_part01.png
2020,1,49,1,2,21,283.46,0.00,283.46,779.53,questoes/banco_reais/enem_2020/dia1_questoes_vazias_imagens/images/q049_v01_p21_part02.png
2020,1,52,1,1,22,0.00,65.26,283.46,332.34,questoes/banco_reais/enem_2020/dia1_questoes_vazias_imagens/images/q052_v01_p22_part01.png
2020,1,56,1,1,23,0.00,65.26,283.46,206.01,questoes/banco_reais/enem_2020/dia1_questoes_vazias_imagens/images/q056_v01_p23_part01.png
2020,1,61,1,1,24,0.00,65.26,283.46,288.11,questoes/banco_reais/enem_2020/dia1_questoes_vazias_imagens/images/q061_v01_p24_part01.png
2020,1,71,1,1,27,0.00,65.26,283.46,399.38,questoes/banco_reais/enem_2020/dia1_questoes_vazias_imagens/images/q071_v01_p27_part01.png
