ano,dia,numero,variacao,parte,page,x_pt,y_pt,w_pt,h_pt,image_path
2021,1,3,2,1,5,0.00,69.14,283.50,710.87,questoes/banco_reais/enem_2021/dia1_questoes_vazias_imagens/images/q003_v02_p05_part01.png
2021,1,8,1,1,7,0.00,69.14,283.50,710.87,questoes/banco_reais/enem_2021/dia1_questoes_vazias_imagens/images/q008_v01_p07_part01.png
2021,1,10,1,1,8,0.00,69.14,283.50,710.87,questoes/banco_reais/enem_2021/dia1_questoes_vazias_imagens/images/q010_v01_p08_part01.png
2021,1,15,1,1,10,0.00,69.14,283.50,710.87,questoes/banco_reais/enem_2021/dia1_questoes_vazias_imagens/images/q015_v01_p10_part01.png
2021,1,17,1,1,11,0.00,69.14,283.50,710.87,questoes/banco_reais/enem_2021/dia1_questoes_vazias_imagens/images/q017_v01_p11_part01.png
2021,1,20,1,1,12,0.00,69.14,283.50,710.87,questoes/banco_reais/enem_2021/dia1_questoes_vazias_imagens/images/q020_v01_p12_part01.png
2021,1,22,1,1,13,0.00,69.14,283.50,314.19,questoes/banco_reais/enem_2021/dia1_questoes_vazias_imagens/images/q022_v01_p13_part01.png
2021,1,25,1,1,13,283.50,364.13,283.50,415.87,questoes/banco_reais/enem_2021/dia1_questoes_vazias_imagens/images/q025_v01_p13_part01.png
2021,1,25,1,2,14,283.50,0.00,283.50,235.83,questoes/banco_reais/enem_2021/dia1_questoes_vazias_imagens/images/q025_v01_p14_part02.png
2021,1,29,1,1,15,0.00,69.14,283.50,710.87,questoes/banco_reais/enem_2021/dia1_questoes_vazias_imagens/images/q029_v01_p15_part01.png
2021,1,34,1,1,17,0.00,69.14,283.50,710.87,questoes/banco_reais/enem_2021/dia1_questoes_vazias_imagens/images/q034_v01_p17_part01.png
2021,1,39,1,1,19,0.00,69.14,283.50,332.60,questoes/banco_reais/enem_2021/dia1_questoes_vazias_imagens/images/q039_v01_p19_part01.png
2021,1,42,1,1,19,283.50,392.49,283.50,387.51,questoes/banco_reais/enem_2021/dia1_questoes_vazias_imagens/images/q042_v01_p19_part01.png
2021,1,42,1,2,20,283.50,0.00,283.50,218.10,questoes/banco_reais/enem_2021/dia1_questoes_vazias_imagens/images/q042_v01_p20_part02.png
2021,1,55,1,1,24,0.00,69.14,283.50,276.01,questoes/banco_reais/enem_2021/dia1_questoes_vazias_imagens/images/q055_v01_p24_part01.png
2021,1,57,1,1,24,0.00,546.22,283.50,233.78,questoes/banco_reais/enem_2021/dia1_questoes_vazias_imagens/images/q057_v01_p24_part01.png
2021,1,66,1,1,26,0.00,69.14,283.50,239.06,questoes/banco_reais/enem_2021/dia1_questoes_vazias_imagens/images/q066_v01_p26_part01.png
2021,1,80,1,1,29,0.00,69.14,283.50,388.77,questoes/banco_reais/enem_2021/dia1_questoes_vazias_imagens/images/q080_v01_p29_part01.png
2021,1,84,1,1,30,0.00,69.14,283.50,233.13,questoes/banco_reais/enem_2021/dia1_questoes_vazias_imagens/images/q084_v01_p30_part01.png
2021,1,85,1,1,30,0.00,300.26,283.50,479.74,questoes/banco_reais/enem_2021/dia1_questoes_vazias_imagens/images/q085_v01_p30_part01.png
